date,side,conf,adx,vol_20,rsi_14,month,dayofweek,is_trend,trend_align,slope_5d,above_ema50,vol_regime,fwd_ret5,actual_pnl,win
2025-04-24,SELL,0.949,45.2,0.00906,63.9,4,3,True,1,0.000209,1,high,-0.00565,0.00535,True
2025-04-25,SELL,0.845,45.0,0.00902,65.5,4,4,True,0,-0.002065,1,high,-0.00251,0.00221,True
2025-04-28,SELL,0.868,45.1,0.00896,63.5,4,0,True,0,-0.0028,1,high,0.00237,-0.00267,False
2025-04-29,SELL,0.853,45.2,0.00897,66.1,4,1,True,1,0.001158,1,high,-0.00087,0.00057,True
2025-04-30,SELL,0.95,44.6,0.00902,64.6,4,2,True,1,0.001417,1,high,0.0026,-0.0029,False
2025-05-01,SELL,0.908,43.2,0.00919,60.0,5,3,True,0,-0.000421,1,high,-0.00322,0.00292,True
2025-05-02,SELL,0.947,42.2,0.0092,58.1,5,4,True,0,-0.001564,1,high,-0.00725,0.00695,True
2025-05-05,SELL,0.94,41.3,0.009,59.4,5,0,True,0,-0.002331,1,high,0.00048,-0.00078,False
2025-05-06,SELL,0.826,40.0,0.00867,58.7,5,1,True,0,-0.001354,1,high,-0.01194,0.01164,True
2025-05-07,SELL,0.977,39.0,0.00853,60.3,5,2,True,1,0.000465,1,high,0.00811,-0.00841,False
2025-05-08,SELL,0.908,36.7,0.00841,57.3,5,3,True,1,0.000344,1,high,-0.00032,2e-05,True
2025-05-09,BUY,0.804,34.3,0.00858,51.2,5,4,True,0,-0.001815,1,high,0.00096,0.00066,True
2025-05-12,BUY,0.48,32.9,0.00854,51.5,5,0,True,0,-0.002535,1,high,-0.00046,-0.00076,False
2025-05-13,BUY,0.74,31.7,0.00637,42.9,5,1,True,0,-0.005079,1,high,0.0041,0.0038,True
2025-05-14,BUY,0.69,29.6,0.00641,49.1,5,2,True,0,-0.003301,1,high,0.00485,0.00455,True
2025-05-15,BUY,0.824,27.6,0.00641,48.8,5,3,True,0,-0.001151,1,high,0.00383,0.00353,True
2025-05-16,BUY,0.898,26.2,0.00636,49.6,5,4,True,1,0.000111,1,high,-0.00435,-0.00465,False
2025-05-19,BUY,0.9,24.5,0.00594,49.2,5,0,False,0,0.001711,1,high,0.00806,0.00776,True
2025-05-20,BUY,0.759,23.0,0.00548,52.6,5,1,False,0,0.000905,1,high,0.00138,0.00108,True
2025-05-21,SELL,0.759,22.5,0.00474,56.4,5,2,False,0,0.002254,1,mid,-0.00451,0.00421,True
2025-05-22,SELL,0.953,21.7,0.0048,59.1,5,3,False,0,0.003356,1,mid,-0.00912,0.00882,True
2025-05-23,SELL,0.891,21.3,0.0048,54.9,5,4,False,0,0.002542,1,mid,0.01288,-0.01318,False
2025-05-26,SELL,0.86,21.3,0.00513,60.5,5,0,False,0,0.002413,1,mid,-0.0022,0.0019,True
2025-05-27,SELL,0.836,20.7,0.00496,61.4,5,1,False,0,0.002141,1,mid,0.00882,-0.00912,False
2025-05-28,SELL,0.566,19.7,0.00505,56.9,5,2,False,0,0.001044,1,mid,-0.00602,0.00572,True
2025-05-30,SELL,0.585,17.2,0.00604,57.8,5,4,False,0,-0.001267,1,high,0.00278,-0.00308,False
2025-06-02,BUY,0.681,16.8,0.00605,56.0,6,0,False,0,-0.000256,1,high,-0.00402,-0.00432,False
2025-06-03,BUY,0.886,16.6,0.00634,61.2,6,1,False,0,0.003104,1,high,0.00177,0.00147,True
2025-06-04,BUY,0.814,16.2,0.00649,56.3,6,2,False,0,0.003315,1,high,0.00082,0.00052,True
2025-06-05,BUY,0.676,16.5,0.00648,58.2,6,3,False,0,0.001039,1,high,0.00628,0.00598,True
2025-06-06,BUY,0.656,16.3,0.00623,59.9,6,4,False,0,0.001486,1,high,0.0079,0.0076,True
2025-06-09,BUY,0.56,16.0,0.00633,56.4,6,0,False,0,-0.000191,1,high,-0.00376,-0.00406,False
2025-06-10,SELL,0.65,15.7,0.00557,57.6,6,1,False,0,0.000639,1,high,-0.00046,0.00016,True
2025-06-11,SELL,0.485,16.0,0.00535,58.1,6,2,False,0,4.4e-05,1,high,-0.00595,0.00565,True
2025-06-12,BUY,0.611,17.5,0.00546,62.3,6,3,False,0,0.001228,1,high,-0.00045,-0.00075,False
2025-06-13,SELL,0.602,18.7,0.00564,66.7,6,4,False,0,0.004061,1,high,0.00307,-0.00337,False
2025-06-16,BUY,0.713,19.8,0.00576,62.9,6,0,False,0,0.003651,1,high,-0.00104,-0.00134,False
2025-06-17,BUY,0.567,20.7,0.00575,62.4,6,1,False,0,0.002386,1,high,0.00854,0.00824,True
2025-06-18,BUY,0.565,20.9,0.00591,56.5,6,2,False,0,-0.000886,1,high,0.00114,0.00084,True
2025-06-19,SELL,0.528,20.5,0.00588,56.1,6,3,False,0,-0.002771,1,high,0.00616,-0.00646,False
2025-06-20,BUY,0.498,20.8,0.00578,58.4,6,4,False,0,-0.001404,1,high,0.00072,0.00042,True
2025-06-23,BUY,0.579,20.5,0.00555,57.3,6,0,False,0,-0.000616,1,high,0.00301,0.00271,True
2025-06-24,SELL,0.877,21.0,0.00583,63.4,6,1,False,0,0.002225,1,high,0.00509,-0.00539,False
2025-06-25,SELL,0.693,21.6,0.00568,64.2,6,2,False,0,0.003083,1,high,0.00156,-0.00186,False
2025-06-26,BUY,0.561,23.0,0.00523,68.0,6,3,False,0,0.003914,1,mid,-0.00045,-0.00075,False
2025-06-27,SELL,0.634,24.4,0.00456,68.4,6,4,False,0,0.004023,1,mid,-0.00244,0.00214,True
2025-06-30,BUY,0.492,25.8,0.00449,70.2,6,0,True,1,0.002888,1,mid,0.00079,0.00049,True
2025-07-01,SELL,0.897,27.5,0.00425,73.0,7,1,True,1,0.003364,1,mid,-0.00376,0.00346,True
2025-07-02,SELL,0.968,28.8,0.00387,73.8,7,2,True,1,0.002884,1,low,-0.00102,0.00072,True
2025-07-03,SELL,0.748,29.4,0.00388,73.1,7,3,True,1,0.002501,1,low,0.00056,-0.00086,False
2025-07-04,SELL,0.67,30.0,0.00398,69.4,7,4,True,1,0.000859,1,low,-0.00242,0.00212,True
2025-07-07,SELL,0.679,29.9,0.00377,69.9,7,0,True,0,-0.000397,1,low,-0.00176,0.00146,True
2025-07-08,SELL,0.785,29.1,0.00396,64.1,7,1,True,0,-0.001337,1,low,-0.00135,0.00105,True
2025-07-09,SELL,0.716,28.5,0.00399,62.6,7,2,True,0,-0.001584,1,low,-0.00505,0.00475,True
2025-07-10,SELL,0.75,27.6,0.00382,63.1,7,3,True,0,-0.001165,1,low,0.00244,-0.00274,False
2025-07-11,SELL,0.691,26.9,0.00351,59.4,7,4,True,0,-0.001376,1,low,-0.00174,0.00144,True
2025-07-14,SELL,0.775,26.0,0.00342,56.7,7,0,True,0,-0.001115,1,low,0.00131,-0.00161,False
2025-07-15,SELL,0.931,24.2,0.00343,54.7,7,1,False,0,-0.001415,1,low,0.00548,-0.00578,False
2025-07-16,SELL,0.73,22.6,0.00335,47.9,7,2,False,0,-0.002432,1,low,0.00382,-0.00412,False
2025-07-17,BUY,0.576,21.2,0.00337,51.0,7,3,False,0,-0.00179,1,low,0.00299,0.00269,True
2025-07-18,BUY,0.709,20.0,0.00336,48.8,7,4,False,0,-0.001407,1,low,-0.00154,-0.00184,False
2025-07-21,BUY,0.582,19.7,0.00335,50.5,7,0,False,0,-0.000542,1,low,6e-05,-0.00024,False
2025-07-22,BUY,0.606,19.8,0.00302,57.3,7,1,False,0,0.001455,1,low,-0.01361,-0.01391,False
2025-07-23,SELL,0.684,19.9,0.00311,61.2,7,2,False,0,0.002451,1,low,-0.00395,0.00365,True
2025-07-24,SELL,0.797,20.5,0.00288,64.1,7,3,False,0,0.003644,1,low,-0.01053,0.01023,True
2025-07-25,SELL,0.605,20.5,0.00291,61.6,7,4,False,0,0.00282,1,low,-0.00049,0.00019,True
2025-07-28,SELL,0.885,19.1,0.00284,61.6,7,0,False,0,0.001205,1,low,0.01426,-0.01456,False
2025-07-31,BUY,0.944,20.3,0.00451,32.9,7,3,False,0,-0.007397,0,mid,0.00725,0.00695,True
2025-08-01,BUY,0.843,19.6,0.00451,32.6,8,4,False,0,-0.007216,0,mid,0.00116,0.00086,True
2025-08-04,BUY,0.891,18.8,0.00572,47.7,8,0,False,0,-0.001279,1,high,-0.00246,-0.00276,False
2025-08-05,BUY,0.735,18.3,0.00567,47.5,8,1,False,0,0.001943,1,high,-0.00253,-0.00283,False
2025-08-06,BUY,0.649,17.1,0.00567,47.2,8,2,False,0,0.003993,1,high,0.00504,0.00474,True
2025-08-07,BUY,0.61,16.3,0.00594,53.8,8,3,False,0,0.004075,1,high,0.00307,0.00277,True
2025-08-08,SELL,0.734,15.6,0.00592,54.7,8,4,False,0,0.002229,1,high,-0.00525,0.00495,True
2025-08-11,BUY,0.582,14.5,0.00594,52.2,8,0,False,0,0.001936,1,high,0.00474,0.00444,True
2025-08-12,SELL,0.534,13.7,0.00595,49.7,8,1,False,0,0.000544,1,high,-0.00327,0.00297,True
2025-08-13,BUY,0.498,13.3,0.00595,54.4,8,2,False,0,-0.000261,1,high,-0.00221,-0.00251,False
2025-08-14,BUY,0.597,12.5,0.00596,57.1,8,3,False,0,0.000871,1,high,0.00079,0.00049,True
2025-08-15,SELL,0.723,11.8,0.00608,51.5,8,4,False,0,0.000868,1,high,-0.00332,0.00302,True
2025-08-18,SELL,0.548,11.1,0.00616,55.7,8,0,False,0,0.00129,1,high,0.00831,-0.00861,False
2025-08-19,SELL,0.546,10.4,0.00608,52.3,8,1,False,0,-0.000203,1,high,-0.00778,0.00748,True
2025-08-20,SELL,0.705,10.1,0.00603,50.1,8,2,False,0,-0.00106,1,high,0.0018,-0.0021,False
2025-08-21,BUY,0.533,10.2,0.00598,50.9,8,3,False,0,-0.000542,1,high,0.00073,0.00043,True
2025-08-22,SELL,0.53,9.5,0.00601,47.5,8,4,False,0,-0.001747,1,high,0.00289,-0.00319,False
2025-08-25,SELL,0.889,8.9,0.00634,55.5,8,0,False,0,0.000455,1,high,0.00088,-0.00118,False
2025-08-26,SELL,0.533,9.2,0.0058,48.1,8,1,False,0,8.3e-05,1,high,0.00206,-0.00236,False
2025-08-27,SELL,0.545,9.8,0.00573,49.7,8,2,False,0,-0.000166,1,high,-0.00682,0.00652,True
2025-08-28,SELL,0.705,9.5,0.00512,50.4,8,3,False,0,-3e-06,1,mid,0.0021,-0.0024,False
2025-08-29,SELL,0.559,9.0,0.00512,53.2,8,4,False,0,-0.000228,1,mid,-0.0003,0.0,True
2025-09-01,SELL,0.651,8.6,0.00409,54.0,9,0,False,0,0.00162,1,mid,0.00483,-0.00513,False
2025-09-02,SELL,0.767,8.8,0.0041,56.0,9,1,False,0,0.001686,1,mid,0.00478,-0.00508,False
2025-09-03,BUY,0.489,9.1,0.00442,48.5,9,2,False,0,9e-05,1,mid,-0.00564,-0.00594,False
2025-09-04,SELL,0.477,9.3,0.00413,50.7,9,3,False,0,-0.000839,1,mid,6e-05,-0.00036,False
2025-09-05,BUY,0.653,9.2,0.00412,50.3,9,4,False,0,-0.001073,1,mid,0.00268,0.00238,True
2025-09-08,SELL,0.645,9.1,0.00422,55.4,9,0,False,0,0.000132,1,mid,-0.0007,0.0004,True
2025-09-09,SELL,0.879,9.4,0.00428,59.7,9,1,False,0,0.002729,1,mid,0.00318,-0.00348,False
2025-09-10,SELL,0.673,9.1,0.00437,53.1,9,2,False,0,0.001682,1,mid,0.00915,-0.00945,False
2025-09-11,SELL,0.773,8.8,0.00431,53.2,9,3,False,0,0.000706,1,mid,-0.0038,0.0035,True
2025-09-12,SELL,0.702,8.5,0.00417,55.8,9,4,False,0,-0.000192,1,mid,-0.00298,0.00268,True
2025-09-15,SELL,0.558,8.7,0.00404,54.9,9,0,False,0,-0.000454,1,mid,-0.00459,0.00429,True
2025-09-16,SELL,0.553,9.9,0.00402,58.2,9,1,False,0,0.001237,1,mid,0.00546,-0.00576,False
2025-09-17,SELL,0.904,11.2,0.00441,65.9,9,2,False,0,0.003103,1,mid,0.00113,-0.00143,False
2025-09-18,SELL,0.886,11.0,0.00454,60.8,9,3,False,0,0.002784,1,mid,-0.00591,0.00561,True
2025-09-19,SELL,0.561,10.4,0.00452,57.2,9,4,False,0,0.001626,1,mid,-0.00697,0.00667,True
2025-09-22,SELL,0.674,9.9,0.00431,52.0,9,0,False,0,-0.001135,1,mid,0.0039,-0.0042,False
2025-09-23,SELL,0.727,9.9,0.00404,57.0,9,1,False,0,-0.001949,1,mid,0.00198,-0.00228,False
2025-09-24,SELL,0.776,9.3,0.00403,57.9,9,2,False,0,-0.000116,1,mid,0.00038,-0.00068,False
2025-09-25,SELL,0.551,9.6,0.0043,51.4,9,3,False,0,-0.00013,1,mid,-0.00015,-0.00015,False
2025-09-30,SELL,0.755,9.1,0.00464,50.7,9,1,False,0,-0.001726,1,mid,-0.00019,-0.00011,False
2025-10-01,SELL,0.728,8.6,0.00434,51.0,10,2,False,0,0.000436,1,mid,-0.00476,0.00446,True
2025-10-02,SELL,0.67,8.3,0.00433,50.9,10,3,False,0,0.001453,1,mid,-0.00194,0.00164,True
2025-10-03,SELL,0.657,8.1,0.00433,50.0,10,4,False,0,0.00031,1,mid,-0.00563,0.00533,True
2025-10-06,SELL,0.579,8.8,0.00421,48.7,10,0,False,0,-0.000415,1,mid,0.00311,-0.00341,False
2025-10-07,SELL,0.734,9.5,0.00405,48.5,10,1,False,0,-0.00062,1,mid,-0.00307,0.00277,True
2025-10-08,SELL,0.764,10.8,0.004,42.9,10,2,False,0,-0.001484,0,low,0.00306,-0.00336,False
2025-10-09,SELL,0.836,12.6,0.00401,40.8,10,3,False,0,-0.002089,0,low,0.0038,-0.0041,False
2025-10-10,SELL,0.543,14.3,0.00412,35.5,10,4,False,0,-0.003178,0,mid,0.00457,-0.00487,False
2025-10-14,BUY,0.81,17.5,0.00415,37.3,10,1,False,0,-0.001767,0,mid,-0.00112,-0.00142,False
2025-10-15,SELL,0.612,18.0,0.00356,41.7,10,2,False,0,-0.000509,0,low,-0.00378,0.00348,True
2025-10-16,BUY,0.54,17.8,0.00366,46.7,10,3,False,0,0.001376,0,low,0.0007,0.0004,True
2025-10-17,SELL,0.58,16.6,0.00381,52.1,10,4,False,0,0.002356,1,low,0.00082,-0.00112,False
2025-10-20,BUY,0.506,15.8,0.00376,48.0,10,0,False,0,0.002394,0,low,0.00117,0.00087,True
2025-10-21,BUY,0.849,15.8,0.0035,46.7,10,1,False,0,0.000819,0,low,0.00172,0.00142,True
2025-10-22,SELL,0.702,16.0,0.00354,42.7,10,2,False,0,-0.001262,0,low,0.00052,-0.00082,False
2025-10-23,BUY,0.524,16.2,0.00336,43.7,10,3,False,0,-0.002056,0,low,-0.00468,-0.00498,False
2025-10-24,SELL,0.635,15.7,0.00301,44.9,10,4,False,0,-0.000987,0,low,-0.00266,0.00236,True
2025-10-27,SELL,0.52,15.3,0.00287,46.6,10,0,False,0,-6.7e-05,0,low,-0.00384,0.00354,True
2025-10-28,SELL,0.84,14.4,0.00286,49.1,10,1,False,0,0.001084,0,low,-0.00077,0.00047,True
2025-10-29,SELL,0.732,13.8,0.00286,49.8,10,2,False,0,0.001139,0,low,-0.00292,0.00262,True
2025-10-30,SELL,0.516,14.5,0.00302,43.5,10,3,False,0,-2.8e-05,0,low,0.00098,-0.00128,False
2025-10-31,SELL,0.522,15.5,0.00306,40.4,10,4,False,0,-0.001435,0,low,0.00456,-0.00486,False
2025-11-03,BUY,0.859,16.6,0.00314,36.4,11,0,False,0,-0.002868,0,low,-0.00046,-0.00076,False
2025-11-04,SELL,0.498,18.1,0.00314,35.6,11,1,False,0,-0.003047,0,low,0.00116,-0.00146,False
2025-11-05,BUY,0.546,19.6,0.00304,32.8,11,2,False,0,-0.002503,0,low,0.00262,0.00232,True
2025-11-06,SELL,0.798,19.7,0.00305,34.7,11,3,False,0,-0.001683,0,low,0.00041,-0.00071,False
2025-11-07,BUY,0.497,18.8,0.00301,42.6,11,4,False,0,0.000173,0,low,0.00343,0.00313,True
2025-11-10,SELL,0.546,18.0,0.00292,42.1,11,0,False,0,0.000982,0,low,-0.00143,0.00113,True
2025-11-11,SELL,0.675,16.7,0.00286,44.1,11,1,False,0,0.001652,0,low,-0.00213,0.00183,True
2025-11-12,SELL,0.54,15.5,0.00283,48.4,11,2,False,0,0.001641,0,low,-0.00081,0.00051,True
2025-11-13,SELL,0.721,15.4,0.00269,49.0,11,3,False,0,0.00112,0,low,-0.0035,0.0032,True
2025-11-14,BUY,0.627,15.4,0.00259,54.4,11,4,False,0,0.001823,1,low,-0.00053,-0.00083,False
2025-11-17,BUY,0.601,14.8,0.00249,51.9,11,0,False,0,0.001386,0,low,-0.00234,-0.00264,False
2025-11-18,BUY,0.613,14.0,0.00252,48.4,11,1,False,0,0.000253,0,low,0.00108,0.00078,True
2025-11-19,BUY,0.673,13.5,0.00238,47.1,11,2,False,0,-0.000547,0,low,0.00389,0.00359,True
2025-11-20,BUY,0.723,13.6,0.00249,41.9,11,3,False,0,-0.00187,0,low,0.00323,0.00293,True
2025-11-21,BUY,0.632,14.0,0.00248,41.2,11,4,False,0,-0.001827,0,low,-0.0002,-0.0005,False
2025-11-24,SELL,0.69,14.4,0.00249,38.0,11,0,False,0,-0.00184,0,low,0.00014,-0.00044,False
2025-11-25,SELL,0.567,13.8,0.00246,40.3,11,1,False,0,-0.001346,0,low,0.00053,-0.00083,False
2025-11-26,BUY,0.515,12.9,0.00265,47.8,11,2,False,0,0.000293,0,low,0.00174,0.00144,True
2025-11-27,BUY,0.598,12.2,0.00256,53.1,11,3,False,0,0.001666,0,low,0.00335,0.00305,True
2025-11-28,BUY,0.5,11.6,0.00249,52.7,11,4,False,0,0.002306,0,low,-0.00206,-0.00236,False
2025-12-01,BUY,0.707,11.5,0.00231,52.9,12,0,False,0,0.001708,0,low,-0.00022,-0.00052,False
2025-12-02,BUY,0.554,11.5,0.00229,53.9,12,1,False,0,0.000733,1,low,0.0001,-0.0002,False
2025-12-03,SELL,0.605,12.5,0.00217,57.0,12,2,False,0,0.000511,1,low,-0.00113,0.00083,True
2025-12-04,SELL,0.803,13.4,0.00226,62.2,12,3,False,0,0.00138,1,low,0.00627,-0.00657,False
2025-12-05,SELL,0.749,13.6,0.00215,57.6,12,4,False,0,0.00122,1,low,0.00326,-0.00356,False
2025-12-08,SELL,0.598,13.6,0.00215,57.1,12,0,False,0,0.000688,1,low,-0.00015,-0.00015,False
2025-12-09,SELL,0.579,13.5,0.00214,57.2,12,1,False,0,4e-06,1,low,0.00145,-0.00175,False
2025-12-10,BUY,0.511,13.4,0.00209,54.5,12,2,False,0,-0.000673,1,low,-0.00043,-0.00073,False
2025-12-11,BUY,0.538,15.1,0.0025,64.6,12,3,False,0,0.000901,1,low,-0.00061,-0.00091,False
2025-12-12,SELL,0.741,16.8,0.00249,68.6,12,4,False,0,0.002213,1,low,-0.00142,0.00112,True
2025-12-15,SELL,0.711,18.6,0.00245,68.2,12,0,False,0,0.002596,1,low,-0.0015,0.0012,True
2025-12-16,SELL,0.691,20.7,0.00238,69.9,12,1,False,0,0.002467,1,low,0.00494,-0.00524,False
2025-12-17,SELL,0.72,21.4,0.00237,68.7,12,2,False,0,0.000952,1,low,0.00251,-0.00281,False
2025-12-18,SELL,0.694,22.1,0.00218,67.0,12,3,False,0,0.00015,1,low,-0.00086,0.00056,True
2025-12-19,SELL,0.797,22.5,0.00222,63.0,12,4,False,0,-0.000309,1,low,-0.00107,0.00077,True
2025-12-22,SELL,0.896,23.4,0.00216,59.0,12,0,False,0,-0.000996,1,low,1e-05,-0.00031,False
2025-12-23,SELL,0.83,24.6,0.00235,66.5,12,1,False,0,-1.1e-05,1,low,-0.00217,0.00187,True
2025-12-24,SELL,0.899,25.9,0.00228,69.6,12,2,True,1,0.001248,1,low,0.00027,-0.00057,False
